time,open,high,low,close,EMA,EMA,EMA
2017-08-17T00:00:00Z,4261.48,4485.39,4200.74,4285.08,NaN,NaN,NaN
2017-08-18T00:00:00Z,4285.08,4371.52,3938.77,4108.37,NaN,NaN,NaN
2017-08-19T00:00:00Z,4108.37,4184.69,3850,4139.98,NaN,NaN,4177.81
2017-08-20T00:00:00Z,4120.98,4211.08,4032.62,4086.29,NaN,NaN,4132.05
2017-08-21T00:00:00Z,4069.13,4119.62,3911.79,4016,NaN,4127.144,4074.025
2017-08-22T00:00:00Z,4016,4104.82,3400,4040,NaN,4098.0960000000000,4057.0125
2017-08-23T00:00:00Z,4040,4265.8,4013.89,4114.01,4112.818571428570,4103.400666666670,4085.51125
2017-08-24T00:00:00Z,4147,4371.68,4085.01,4316.01,4163.6164285714300,4174.270444444450,4200.760625
2017-08-25T00:00:00Z,4316.01,4453.91,4247.48,4280.68,4192.882321428570,4209.740296296300,4240.7203125
2017-08-26T00:00:00Z,4280.71,4367,4212.41,4337.44,4229.021741071430,4252.3068641975300,4289.08015625
2017-08-27T00:00:00Z,4332.51,4400,4285.54,4310.01,4249.268805803570,4271.541242798360,4299.545078125
2017-08-28T00:00:00Z,4310.01,4399.82,4124.54,4386.69,4283.624104352680,4309.92416186557,4343.117539062500
2017-08-29T00:00:00Z,4353.65,4625.85,4313.55,4587.48,4359.588078264510,4402.442774577050,4465.2987695312500
2017-08-30T00:00:00Z,4564.52,4647.51,4416.01,4555.14,4408.476058698380,4453.341849718030,4510.219384765630
2017-08-31T00:00:00Z,4555.14,4745.42,4555.14,4724.89,4487.579544023790,4543.857899812020,4617.554692382810
2017-09-01T00:00:00Z,4689.89,4885.55,4654.88,4834.91,4574.41215801784,4640.875266541350,4726.232346191410
2017-09-02T00:00:00Z,4796.16,4939.19,4286.87,4472.14,4548.84411851338,4584.630177694230,4599.186173095700
2017-09-03T00:00:00Z,4508.5,4714.76,4298.33,4509.08,4538.903088885040,4559.446785129490,4554.133086547850
2017-09-04T00:00:00Z,4505,4527.49,3972.51,4100.11,4429.204816663780,4406.334523419660,4327.121543273930
2017-09-05T00:00:00Z,4106.97,4484.99,3603,4366.47,4413.521112497830,4393.046348946440,4346.795771636960
2017-09-06T00:00:00Z,4366.49,4662.87,4335.26,4619.77,4465.083334373370,4468.620899297630,4483.282885818480
2017-09-07T00:00:00Z,4619.77,4788.59,4438.19,4691.61,4521.71500078003,4542.95059953175,4587.44644290924
2017-09-08T00:00:00Z,4691.66,4735.39,4028.93,4282.8,4461.986250585020,4456.233733021170,4435.12322145462
2017-09-09T00:00:00Z,4282.8,4426.62,4150.06,4258.81,4411.192187938770,4390.425822014110,4346.96661072731
2017-09-10T00:00:00Z,4258.81,4283,3801,4130.37,4340.986640954080,4303.740548009410,4238.668305363660
2017-09-11T00:00:00Z,4153.62,4334.43,4098.91,4208.47,4307.857480715560,4271.983698672940,4223.569152681830
2017-09-12T00:00:00Z,4208.6,4394.59,4040.8,4163.72,4271.823110536670,4235.895799115290,4193.644576340910
2017-09-13T00:00:00Z,4159.72,4165.38,3760,3944.69,4190.039832902500,4138.827199410200,4069.167288170460
2017-09-14T00:00:00Z,3944,3993,3165.13,3189.02,3939.784874676880,3822.2247996068000,3629.0936440852300
2017-09-15T00:00:00Z,3188.01,3856,2817,3700,3879.838656007660,3781.4831997378600,3664.546822042610
2017-09-16T00:00:00Z,3674.01,3950,3470.66,3714.95,3838.6164920057400,3759.3054664919100,3689.748411021310
2017-09-17T00:00:00Z,3685.23,3748.21,3499.02,3699.99,3803.9598690043100,3739.53364432794,3694.8692055106500
2017-09-18T00:00:00Z,3690,4123.2,3690,4035.01,3861.72240175323,3838.0257628852900,3864.9396027553300
2017-09-19T00:00:00Z,4060,4089.97,3830.91,3910.04,3873.801801314920,3862.0305085902000,3887.4898013776600
2017-09-20T00:00:00Z,3910.04,4046.08,3820,3900,3880.3513509861900,3874.687005726800,3893.744900688830
2017-09-21T00:00:00Z,3889.99,3910,3567,3609.99,3812.7610132396400,3786.454670484530,3751.867450344420
2017-09-22T00:00:00Z,3592.84,3750,3505.55,3595.87,3758.5382599297300,3722.9264469896900,3673.8687251722100
2017-09-23T00:00:00Z,3595.88,3817.19,3542.91,3780,3763.9036949473000,3741.9509646597900,3726.934362586100
2017-09-24T00:00:00Z,3779.54,3789.99,3622.76,3660.02,3737.9327712104700,3714.640643106530,3693.477181293050
2017-09-25T00:00:00Z,3660.02,3979.87,3653.69,3920.75,3783.637078407860,3783.343762071020,3807.113590646530
2017-09-26T00:00:00Z,3928,3976.99,3850.05,3882.35,3808.3153088058900,3816.3458413806800,3844.731795323260
